CDR,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
F16.M1,0.54,0.84,0.84,0.87,0.91,0.93,0.94,0.91,0.94,0.94,0.92,0.94,0.95,0.95,0.96,0.94,0.96,0.95,0.94,0.94,0.92,0.93,0.92,0.93,0.90,0.93,0.94,0.92,0.90,1.00
F1.M1,0.64,0.72,0.72,0.74,0.75,0.75,0.76,0.75,0.75,0.75,0.73,0.76,0.78,0.78,0.74,0.74,0.77,0.78,0.79,0.74,0.75,0.75,0.74,0.73,0.70,0.74,0.71,0.77,0.74,1.00
F1.M2,0.23,0.43,0.69,0.68,0.73,0.76,0.78,0.80,0.81,0.82,0.82,0.84,0.86,0.86,0.89,0.89,0.90,0.89,0.92,0.93,0.94,0.96,0.94,0.93,0.93,0.97,0.96,1.00,1.00,1.00
F1.M3,0.64,0.72,0.78,0.78,0.79,0.80,0.81,0.81,0.83,0.84,0.85,0.86,0.88,0.89,0.89,0.88,0.90,0.91,0.92,0.90,0.92,0.94,0.93,0.94,0.94,0.94,0.92,0.94,0.87,1.00
F1.M4,0.23,0.99,0.84,0.81,0.82,0.82,0.85,0.86,0.84,0.82,0.81,0.83,0.79,0.79,0.79,0.79,0.79,0.78,0.74,0.76,0.72,0.69,0.69,0.72,0.68,0.76,0.76,0.83,0.85,1.00
F1.M5,0.23,0.32,0.37,0.38,0.41,0.48,0.54,0.58,0.64,0.70,0.76,0.78,0.79,0.81,0.83,0.84,0.87,0.88,0.91,0.92,0.92,0.96,0.94,0.94,0.93,0.97,0.96,1.00,1.00,1.00
F1.M6,0.10,0.35,0.44,0.54,0.61,0.62,0.64,0.68,0.70,0.71,0.71,0.74,0.74,0.73,0.75,0.76,0.74,0.75,0.76,0.77,0.76,0.77,0.76,0.78,0.78,0.84,0.84,0.88,0.90,1.00
F1.M7,0.23,0.97,0.83,0.83,0.82,0.78,0.79,0.75,0.75,0.72,0.71,0.72,0.68,0.69,0.65,0.63,0.66,0.67,0.65,0.65,0.64,0.64,0.62,0.64,0.64,0.67,0.65,0.76,0.72,1.00
F1.M8,0.23,0.99,0.84,0.81,0.82,0.82,0.85,0.86,0.84,0.82,0.81,0.83,0.79,0.79,0.79,0.79,0.79,0.78,0.74,0.76,0.72,0.69,0.69,0.72,0.68,0.76,0.76,0.83,0.85,1.00
F1.M9,0.23,0.99,0.84,0.81,0.82,0.82,0.85,0.86,0.84,0.82,0.81,0.83,0.79,0.79,0.79,0.79,0.79,0.78,0.74,0.76,0.72,0.69,0.69,0.72,0.68,0.76,0.76,0.83,0.85,1.00
F1.M10,0.64,0.72,0.78,0.75,0.78,0.77,0.78,0.77,0.79,0.82,0.80,0.82,0.83,0.84,0.86,0.84,0.85,0.87,0.88,0.87,0.87,0.88,0.87,0.87,0.90,0.91,0.89,0.94,0.86,1.00
F1.M11,0.64,0.72,0.76,0.72,0.73,0.72,0.70,0.72,0.71,0.73,0.75,0.76,0.76,0.73,0.74,0.75,0.78,0.78,0.78,0.80,0.78,0.81,0.82,0.84,0.82,0.86,0.85,0.91,0.86,1.00
F1.M12,0.23,0.32,0.36,0.46,0.49,0.60,0.65,0.68,0.75,0.77,0.78,0.81,0.80,0.83,0.83,0.86,0.86,0.86,0.86,0.89,0.88,0.91,0.89,0.92,0.88,0.93,0.93,0.98,0.99,1.00
F1.M13,0.23,0.33,0.37,0.38,0.42,0.49,0.54,0.58,0.65,0.70,0.75,0.79,0.80,0.81,0.84,0.86,0.88,0.87,0.88,0.91,0.92,0.92,0.90,0.92,0.89,0.93,0.94,0.96,0.98,1.00
