Name,BDR,Makespan
j.rnd.6x5.train.1,SPT.MWR.40,590
j.rnd.6x5.train.2,SPT.MWR.40,494
j.rnd.6x5.train.3,SPT.MWR.40,355
j.rnd.6x5.train.4,SPT.MWR.40,604
j.rnd.6x5.train.5,SPT.MWR.40,437
j.rnd.6x5.train.6,SPT.MWR.40,513
j.rnd.6x5.train.7,SPT.MWR.40,481
j.rnd.6x5.train.8,SPT.MWR.40,470
j.rnd.6x5.train.9,SPT.MWR.40,427
j.rnd.6x5.train.10,SPT.MWR.40,484
j.rnd.6x5.train.11,SPT.MWR.40,485
j.rnd.6x5.train.12,SPT.MWR.40,501
j.rnd.6x5.train.13,SPT.MWR.40,631
j.rnd.6x5.train.14,SPT.MWR.40,532
j.rnd.6x5.train.15,SPT.MWR.40,546
j.rnd.6x5.train.16,SPT.MWR.40,499
j.rnd.6x5.train.17,SPT.MWR.40,544
j.rnd.6x5.train.18,SPT.MWR.40,573
j.rnd.6x5.train.19,SPT.MWR.40,747
j.rnd.6x5.train.20,SPT.MWR.40,471
j.rnd.6x5.train.21,SPT.MWR.40,425
j.rnd.6x5.train.22,SPT.MWR.40,583
j.rnd.6x5.train.23,SPT.MWR.40,506
j.rnd.6x5.train.24,SPT.MWR.40,514
j.rnd.6x5.train.25,SPT.MWR.40,474
j.rnd.6x5.train.26,SPT.MWR.40,480
j.rnd.6x5.train.27,SPT.MWR.40,462
j.rnd.6x5.train.28,SPT.MWR.40,414
j.rnd.6x5.train.29,SPT.MWR.40,572
j.rnd.6x5.train.30,SPT.MWR.40,503
j.rnd.6x5.train.31,SPT.MWR.40,489
j.rnd.6x5.train.32,SPT.MWR.40,654
j.rnd.6x5.train.33,SPT.MWR.40,490
j.rnd.6x5.train.34,SPT.MWR.40,520
j.rnd.6x5.train.35,SPT.MWR.40,556
j.rnd.6x5.train.36,SPT.MWR.40,413
j.rnd.6x5.train.37,SPT.MWR.40,438
j.rnd.6x5.train.38,SPT.MWR.40,610
j.rnd.6x5.train.39,SPT.MWR.40,507
j.rnd.6x5.train.40,SPT.MWR.40,369
j.rnd.6x5.train.41,SPT.MWR.40,460
j.rnd.6x5.train.42,SPT.MWR.40,506
j.rnd.6x5.train.43,SPT.MWR.40,367
j.rnd.6x5.train.44,SPT.MWR.40,496
j.rnd.6x5.train.45,SPT.MWR.40,526
j.rnd.6x5.train.46,SPT.MWR.40,593
j.rnd.6x5.train.47,SPT.MWR.40,539
j.rnd.6x5.train.48,SPT.MWR.40,511
j.rnd.6x5.train.49,SPT.MWR.40,488
j.rnd.6x5.train.50,SPT.MWR.40,532
j.rnd.6x5.train.51,SPT.MWR.40,636
j.rnd.6x5.train.52,SPT.MWR.40,664
j.rnd.6x5.train.53,SPT.MWR.40,531
j.rnd.6x5.train.54,SPT.MWR.40,614
j.rnd.6x5.train.55,SPT.MWR.40,561
j.rnd.6x5.train.56,SPT.MWR.40,529
j.rnd.6x5.train.57,SPT.MWR.40,544
j.rnd.6x5.train.58,SPT.MWR.40,604
j.rnd.6x5.train.59,SPT.MWR.40,485
j.rnd.6x5.train.60,SPT.MWR.40,639
j.rnd.6x5.train.61,SPT.MWR.40,440
j.rnd.6x5.train.62,SPT.MWR.40,432
j.rnd.6x5.train.63,SPT.MWR.40,573
j.rnd.6x5.train.64,SPT.MWR.40,509
j.rnd.6x5.train.65,SPT.MWR.40,526
j.rnd.6x5.train.66,SPT.MWR.40,494
j.rnd.6x5.train.67,SPT.MWR.40,439
j.rnd.6x5.train.68,SPT.MWR.40,504
j.rnd.6x5.train.69,SPT.MWR.40,557
j.rnd.6x5.train.70,SPT.MWR.40,561
j.rnd.6x5.train.71,SPT.MWR.40,562
j.rnd.6x5.train.72,SPT.MWR.40,583
j.rnd.6x5.train.73,SPT.MWR.40,477
j.rnd.6x5.train.74,SPT.MWR.40,370
j.rnd.6x5.train.75,SPT.MWR.40,497
j.rnd.6x5.train.76,SPT.MWR.40,458
j.rnd.6x5.train.77,SPT.MWR.40,464
j.rnd.6x5.train.78,SPT.MWR.40,498
j.rnd.6x5.train.79,SPT.MWR.40,474
j.rnd.6x5.train.80,SPT.MWR.40,441
j.rnd.6x5.train.81,SPT.MWR.40,416
j.rnd.6x5.train.82,SPT.MWR.40,445
j.rnd.6x5.train.83,SPT.MWR.40,622
j.rnd.6x5.train.84,SPT.MWR.40,492
j.rnd.6x5.train.85,SPT.MWR.40,558
j.rnd.6x5.train.86,SPT.MWR.40,443
j.rnd.6x5.train.87,SPT.MWR.40,476
j.rnd.6x5.train.88,SPT.MWR.40,484
j.rnd.6x5.train.89,SPT.MWR.40,518
j.rnd.6x5.train.90,SPT.MWR.40,506
j.rnd.6x5.train.91,SPT.MWR.40,591
j.rnd.6x5.train.92,SPT.MWR.40,478
j.rnd.6x5.train.93,SPT.MWR.40,486
j.rnd.6x5.train.94,SPT.MWR.40,578
j.rnd.6x5.train.95,SPT.MWR.40,467
j.rnd.6x5.train.96,SPT.MWR.40,482
j.rnd.6x5.train.97,SPT.MWR.40,446
j.rnd.6x5.train.98,SPT.MWR.40,444
j.rnd.6x5.train.99,SPT.MWR.40,503
j.rnd.6x5.train.100,SPT.MWR.40,543
j.rnd.6x5.train.101,SPT.MWR.40,461
j.rnd.6x5.train.102,SPT.MWR.40,540
j.rnd.6x5.train.103,SPT.MWR.40,403
j.rnd.6x5.train.104,SPT.MWR.40,423
j.rnd.6x5.train.105,SPT.MWR.40,567
j.rnd.6x5.train.106,SPT.MWR.40,434
j.rnd.6x5.train.107,SPT.MWR.40,529
j.rnd.6x5.train.108,SPT.MWR.40,465
j.rnd.6x5.train.109,SPT.MWR.40,450
j.rnd.6x5.train.110,SPT.MWR.40,551
j.rnd.6x5.train.111,SPT.MWR.40,516
j.rnd.6x5.train.112,SPT.MWR.40,539
j.rnd.6x5.train.113,SPT.MWR.40,544
j.rnd.6x5.train.114,SPT.MWR.40,521
j.rnd.6x5.train.115,SPT.MWR.40,458
j.rnd.6x5.train.116,SPT.MWR.40,565
j.rnd.6x5.train.117,SPT.MWR.40,485
j.rnd.6x5.train.118,SPT.MWR.40,417
j.rnd.6x5.train.119,SPT.MWR.40,510
