Name,Optimum,Solved
f.jc.6x5.train.1,820,opt
f.jc.6x5.train.2,387,opt
f.jc.6x5.train.3,296,opt
f.jc.6x5.train.4,535,opt
f.jc.6x5.train.5,575,opt
f.jc.6x5.train.6,635,opt
f.jc.6x5.train.7,738,opt
f.jc.6x5.train.8,685,opt
f.jc.6x5.train.9,379,opt
f.jc.6x5.train.10,433,opt
f.jc.6x5.train.11,544,opt
f.jc.6x5.train.12,463,opt
f.jc.6x5.train.13,688,opt
f.jc.6x5.train.14,692,opt
f.jc.6x5.train.15,805,opt
f.jc.6x5.train.16,728,opt
f.jc.6x5.train.17,398,opt
f.jc.6x5.train.18,450,opt
f.jc.6x5.train.19,555,opt
f.jc.6x5.train.20,595,opt
f.jc.6x5.train.21,599,opt
f.jc.6x5.train.22,665,opt
f.jc.6x5.train.23,695,opt
f.jc.6x5.train.24,822,opt
f.jc.6x5.train.25,189,opt
f.jc.6x5.train.26,460,opt
f.jc.6x5.train.27,419,opt
f.jc.6x5.train.28,556,opt
f.jc.6x5.train.29,635,opt
f.jc.6x5.train.30,715,opt
f.jc.6x5.train.31,795,opt
f.jc.6x5.train.32,389,opt
f.jc.6x5.train.33,423,opt
f.jc.6x5.train.34,508,opt
f.jc.6x5.train.35,587,opt
f.jc.6x5.train.36,603,opt
f.jc.6x5.train.37,593,opt
f.jc.6x5.train.38,739,opt
f.jc.6x5.train.39,740,opt
f.jc.6x5.train.40,176,opt
f.jc.6x5.train.41,437,opt
f.jc.6x5.train.42,476,opt
f.jc.6x5.train.43,519,opt
f.jc.6x5.train.44,646,opt
f.jc.6x5.train.45,667,opt
f.jc.6x5.train.46,789,opt
f.jc.6x5.train.47,409,opt
f.jc.6x5.train.48,360,opt
f.jc.6x5.train.49,449,opt
f.jc.6x5.train.50,546,opt
f.jc.6x5.train.51,567,opt
f.jc.6x5.train.52,709,opt
f.jc.6x5.train.53,641,opt
f.jc.6x5.train.54,860,opt
f.jc.6x5.train.55,422,opt
f.jc.6x5.train.56,442,opt
f.jc.6x5.train.57,509,opt
f.jc.6x5.train.58,547,opt
f.jc.6x5.train.59,568,opt
f.jc.6x5.train.60,694,opt
f.jc.6x5.train.61,758,opt
f.jc.6x5.train.62,822,opt
f.jc.6x5.train.63,387,opt
f.jc.6x5.train.64,461,opt
f.jc.6x5.train.65,487,opt
f.jc.6x5.train.66,574,opt
f.jc.6x5.train.67,628,opt
f.jc.6x5.train.68,703,opt
f.jc.6x5.train.69,806,opt
f.jc.6x5.train.70,355,opt
f.jc.6x5.train.71,383,opt
f.jc.6x5.train.72,523,opt
f.jc.6x5.train.73,519,opt
f.jc.6x5.train.74,582,opt
f.jc.6x5.train.75,644,opt
f.jc.6x5.train.76,745,opt
f.jc.6x5.train.77,793,opt
f.jc.6x5.train.78,367,opt
f.jc.6x5.train.79,526,opt
f.jc.6x5.train.80,384,opt
f.jc.6x5.train.81,506,opt
f.jc.6x5.train.82,566,opt
f.jc.6x5.train.83,711,opt
f.jc.6x5.train.84,761,opt
f.jc.6x5.train.85,274,opt
f.jc.6x5.train.86,307,opt
f.jc.6x5.train.87,443,opt
f.jc.6x5.train.88,549,opt
f.jc.6x5.train.89,482,opt
f.jc.6x5.train.90,593,opt
f.jc.6x5.train.91,749,opt
f.jc.6x5.train.92,862,opt
f.jc.6x5.train.93,367,opt
f.jc.6x5.train.94,468,opt
f.jc.6x5.train.95,502,opt
f.jc.6x5.train.96,542,opt
f.jc.6x5.train.97,662,opt
f.jc.6x5.train.98,658,opt
f.jc.6x5.train.99,767,opt
f.jc.6x5.train.100,885,opt
f.jc.6x5.train.101,317,opt
f.jc.6x5.train.102,420,opt
f.jc.6x5.train.103,523,opt
f.jc.6x5.train.104,528,opt
f.jc.6x5.train.105,664,opt
f.jc.6x5.train.106,634,opt
f.jc.6x5.train.107,831,opt
f.jc.6x5.train.108,271,opt
f.jc.6x5.train.109,418,opt
f.jc.6x5.train.110,421,opt
f.jc.6x5.train.111,508,opt
f.jc.6x5.train.112,539,opt
f.jc.6x5.train.113,633,opt
f.jc.6x5.train.114,652,opt
f.jc.6x5.train.115,740,opt
f.jc.6x5.train.116,494,opt
f.jc.6x5.train.117,380,opt
f.jc.6x5.train.118,515,opt
f.jc.6x5.train.119,573,opt
f.jc.6x5.train.120,722,opt
f.jc.6x5.train.121,686,opt
f.jc.6x5.train.122,769,opt
f.jc.6x5.train.123,204,opt
f.jc.6x5.train.124,440,opt
f.jc.6x5.train.125,479,opt
f.jc.6x5.train.126,541,opt
f.jc.6x5.train.127,599,opt
f.jc.6x5.train.128,693,opt
f.jc.6x5.train.129,751,opt
f.jc.6x5.train.130,636,opt
f.jc.6x5.train.131,308,opt
f.jc.6x5.train.132,406,opt
f.jc.6x5.train.133,502,opt
f.jc.6x5.train.134,525,opt
f.jc.6x5.train.135,596,opt
f.jc.6x5.train.136,673,opt
f.jc.6x5.train.137,767,opt
f.jc.6x5.train.138,809,opt
f.jc.6x5.train.139,367,opt
f.jc.6x5.train.140,499,opt
f.jc.6x5.train.141,594,opt
f.jc.6x5.train.142,631,opt
f.jc.6x5.train.143,575,opt
