PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,1,-1,-1,13,-44,40,-2,4,10,19,2
1,0,1,1,1,-13,44,-40,2,-4,-10,-19,-2
1,0,0,-1,-1,48,3,-1,-1,-3,-5,6,7
1,0,0,1,1,-48,-3,1,1,3,5,-6,-7
1,0,0,-1,-1,47,45,-1,14,-38,-3,-11,3
1,0,0,1,1,-47,-45,1,-14,38,3,11,-3
1,0,0,-2,-1,-1,3,-51,-19,38,-13,-5,-3
1,0,0,2,1,1,-3,51,19,-38,13,5,3
1,0,0,-7,-1,-55,-49,51,7,-43,-8,-9,-3
1,0,0,7,1,55,49,-51,-7,43,8,9,3
1,1,1,-1,-1,1,41,51,-54,-4,-13,7,2
1,1,1,1,1,-1,-41,-51,54,4,13,-7,-2
1,1,1,-1,-1,-89,-46,6,-49,-45,-24,7,9
1,1,1,1,1,89,46,-6,49,45,24,-7,-9
1,1,1,-1,-1,-51,10,48,15,-46,-24,3,3
1,1,1,1,1,51,-10,-48,-15,46,24,-3,-3
1,1,0,-1,-1,102,88,44,-6,10,10,10,0
1,1,0,1,1,-102,-88,-44,6,-10,-10,-10,0
1,1,0,-6,-1,-43,-41,-45,60,-12,-3,-8,5
1,1,0,6,1,43,41,45,-60,12,3,8,-5
1,2,1,-1,-1,1,41,-4,0,-3,6,-15,1
1,2,1,1,1,-1,-41,4,0,3,-6,15,-1
1,2,1,-1,-1,-54,-45,-49,0,-1,-8,-26,-2
1,2,1,1,1,54,45,49,0,1,8,26,2
1,2,1,-1,-1,-37,9,-55,15,-2,2,29,5
1,2,1,1,1,37,-9,55,-15,2,-2,-29,-5
1,2,0,-1,-1,49,88,44,0,-2,6,51,3
1,2,0,1,1,-49,-88,-44,0,2,-6,-51,-3
1,2,0,-6,-1,-149,-41,-45,6,-6,-9,-7,7
1,2,0,6,1,149,41,45,-6,6,9,7,-7
1,3,1,-1,-1,-50,41,-4,0,-2,3,-23,-3
1,3,1,1,1,50,-41,4,0,2,-3,23,3
1,3,1,-1,-1,-41,-45,-49,0,0,-9,-22,-7
1,3,1,1,1,41,45,49,0,0,9,22,7
1,3,1,-1,-1,-37,10,0,15,-1,8,26,3
1,3,1,1,1,37,-10,0,-15,1,-8,-26,-3
1,3,0,-1,-1,-50,88,44,0,36,14,-4,-3
1,3,0,1,1,50,-88,-44,0,-36,-14,4,3
1,3,0,-6,-1,8,-41,-45,6,-8,-10,8,4
1,3,0,6,1,-8,41,45,-6,8,10,-8,-4
1,4,1,-1,-1,-50,41,-4,0,5,14,-39,0
1,4,1,1,1,50,-41,4,0,-5,-14,39,0
1,4,1,-1,-1,-54,-45,-49,0,6,-4,-27,-5
1,4,1,1,1,54,45,49,0,-6,4,27,5
1,4,1,-1,-1,-85,10,0,15,2,21,-40,2
1,4,1,1,1,85,-10,0,-15,-2,-21,40,-2
1,4,0,-1,-1,-50,137,44,0,3,11,-12,2
1,4,0,1,1,50,-137,-44,0,-3,-11,12,-2
1,4,0,-6,-1,8,-41,-45,6,-44,-11,37,4
1,4,0,6,1,-8,41,45,-6,44,11,-37,-4
1,5,1,-1,-1,-34,88,44,0,-4,8,6,0
1,5,1,1,1,34,-88,-44,0,4,-8,-6,0
1,5,1,-1,-1,-25,1,-1,0,0,-2,2,2
1,5,1,1,1,25,-1,1,0,0,2,-2,-2
1,5,1,-1,-1,-25,56,48,15,0,16,14,2
1,5,1,1,1,25,-56,-48,-15,0,-16,-14,-2
1,5,0,-6,-1,8,-41,-45,6,-10,-8,44,6
1,5,0,6,1,-8,41,45,-6,10,8,-44,-6
1,6,1,-1,-1,81,-10,-4,-15,-11,-9,21,1
1,6,1,1,1,-81,10,4,15,11,9,-21,-1
1,6,1,-1,-1,131,-5,48,-15,-2,5,29,3
1,6,1,1,1,-131,5,-48,15,2,-5,-29,-3
1,6,0,-1,-1,-34,-49,-54,0,-2,-22,-11,-6
1,6,0,1,1,34,49,54,0,2,22,11,6
1,6,0,-6,-1,8,0,-45,8,3,-10,-41,-5
1,6,0,6,1,-8,0,45,-8,-3,10,41,5
1,7,1,-1,-1,-25,43,-4,-53,-1,-13,-14,7
1,7,1,1,1,25,-43,4,53,1,13,14,-7
1,7,1,-1,-1,19,-9,48,-44,-1,-10,-12,10
1,7,1,1,1,-19,9,-48,44,1,10,12,-10
1,7,0,-1,-1,-131,43,-54,-52,-1,-30,-60,-10
1,7,0,1,1,131,-43,54,52,1,30,60,10
1,7,0,-45,-1,0,-45,4,7,-45,-19,14,5
1,7,0,45,1,0,45,-4,-7,45,19,-14,-5
1,8,0,-6,-1,-1,1,0,-49,-6,-13,-41,-4
1,8,0,6,1,1,-1,0,49,6,13,41,4
1,8,0,-6,-1,63,-48,3,5,-6,-6,-43,-9
1,8,0,6,1,-63,48,-3,-5,6,6,43,9
1,8,1,-6,-1,-1,0,-50,-49,-6,-29,-41,-10
1,8,1,6,1,1,0,50,49,6,29,41,10
1,8,0,-40,-1,-63,0,0,3,-41,-20,-7,11
1,8,0,40,1,63,0,0,-3,41,20,7,-11
1,9,0,-6,-1,-2,0,0,-49,-6,-13,-2,-1
1,9,0,6,1,2,0,0,49,6,13,2,1
1,9,1,-6,-1,47,-49,2,5,-6,-6,1,-3
1,9,1,6,1,-47,49,-2,-5,6,6,-1,3
1,9,0,-6,-1,47,0,0,-49,-6,7,-2,-1
1,9,0,6,1,-47,0,0,49,6,-7,2,1
1,9,0,-6,-1,47,-51,0,-49,-6,-14,-4,-7
1,9,0,6,1,-47,51,0,49,6,14,4,7
1,10,0,-53,-1,-49,-55,0,-54,-53,-19,2,12
1,10,0,53,1,49,55,0,54,53,19,-2,-12
1,10,0,-53,-1,-43,41,0,-1,-53,0,16,3
1,10,0,53,1,43,-41,0,1,53,0,-16,-3
1,10,0,-53,-1,0,-9,0,0,-53,5,2,7
1,10,0,53,1,0,9,0,0,53,-5,-2,-7
1,10,1,-53,-1,0,-106,0,0,-53,-13,-5,3
1,10,1,53,1,0,106,0,0,53,13,5,-3
1,11,0,-53,-1,-49,-54,0,-54,-53,-25,-3,13
1,11,0,53,1,49,54,0,54,53,25,3,-13
